18.230,16.180,0.511,0.510,0.441,0.551,0.432,0.292,2.300
18.620,16.480,0.525,0.516,0.450,0.548,0.439,0.290,2.300
18.000,15.220,0.501,0.484,0.433,0.530,0.423,0.281,2.240
17.180,14.550,0.469,0.467,0.406,0.523,0.403,0.278,2.270
17.070,14.900,0.473,0.465,0.402,0.563,0.397,0.283,2.230
16.770,14.490,0.459,0.457,0.397,0.638,0.400,0.283,2.340
17.960,16.130,0.488,0.487,0.421,0.714,0.435,0.301,2.370
18.210,16.120,0.497,0.489,0.446,0.712,0.449,0.316,2.270
18.050,16.030,0.490,0.487,0.443,0.633,0.448,0.317,2.250
19.040,16.880,0.529,0.527,0.470,0.671,0.480,0.341,2.290
19.870,18.620,0.569,0.555,0.493,0.676,0.507,0.358,2.210
20.210,19.250,0.585,0.572,0.505,0.689,0.516,0.374,2.140
19.890,19.280,0.580,0.564,0.495,0.696,0.507,0.374,2.290
20.620,19.760,0.608,0.592,0.512,0.712,0.527,0.390,2.580
20.540,19.440,0.639,0.603,0.520,0.770,0.538,0.391,2.630
21.440,20.210,0.643,0.619,0.545,0.718,0.561,0.423,2.750
21.620,20.800,0.636,0.605,0.559,0.699,0.575,0.412,2.800
21.210,20.250,0.631,0.594,0.559,0.680,0.573,0.398,2.980
21.880,20.900,0.655,0.614,0.569,0.675,0.584,0.409,2.690
23.000,21.940,0.671,0.644,0.600,0.676,0.612,0.416,2.700
24.280,23.080,0.690,0.648,0.609,0.678,0.619,0.439,2.580
24.530,23.020,0.699,0.642,0.605,0.676,0.617,0.441,2.420
24.580,23.250,0.716,0.659,0.618,0.700,0.628,0.446,2.460
22.720,22.420,0.640,0.595,0.575,0.680,0.581,0.452,2.450
22.540,21.780,0.615,0.582,0.577,0.699,0.589,0.456,2.670
22.650,21.790,0.617,0.587,0.586,0.708,0.602,0.461,2.920
22.500,21.820,0.617,0.590,0.591,0.745,0.603,0.448,2.940
22.720,22.220,0.636,0.599,0.600,0.853,0.611,0.422,2.750
24.220,24.770,0.688,0.655,0.632,0.812,0.648,0.430,2.390
26.050,25.190,0.715,0.676,0.674,0.782,0.686,0.447,2.240
27.350,25.820,0.752,0.711,0.690,0.777,0.711,0.452,2.000
25.460,25.350,0.700,0.664,0.656,0.752,0.682,0.417,2.200
26.190,25.740,0.716,0.665,0.649,0.713,0.682,0.414,2.210
26.200,25.440,0.706,0.644,0.666,0.741,0.695,0.422,2.490
