observation_date,CPIAUCSL
6/1/2004,4.455056827
7/1/2004,1.269841388
8/1/2004,0.634417144
9/1/2004,3.79947547
10/1/2004,6.305847406
11/1/2004,5.647069245
12/1/2004,0
1/1/2005,-0.626141418
2/1/2005,5.000007234
3/1/2005,4.357981443
4/1/2005,3.722857174
5/1/2005,-0.619674685
6/1/2005,0.619674685
7/1/2005,7.411243321
8/1/2005,7.365752027
9/1/2005,16.40947322
10/1/2005,1.809500217
11/1/2005,-6.042308839
12/1/2005,0
1/1/2006,7.247128217
2/1/2006,0.601956371
3/1/2006,1.804059473
4/1/2006,5.994018457
5/1/2006,3.582092212
6/1/2006,2.976930329
7/1/2006,6.523366695
8/1/2006,5.311048748
9/1/2006,-5.902618886
10/1/2006,-5.337295678
11/1/2006,0.594206499
12/1/2006,6.516925422
1/1/2007,1.989487267
2/1/2007,4.64501896
3/1/2007,6.223976992
4/1/2007,3.595403378
5/1/2007,4.949371988
6/1/2007,2.776886615
7/1/2007,2.13481496
8/1/2007,0.36987984
9/1/2007,5.074320295
10/1/2007,3.694193281
11/1/2007,9.393796899
12/1/2007,3.472588084
1/1/2008,4.130130441
2/1/2008,2.897890365
3/1/2008,4.285970271
4/1/2008,2.774048359
5/1/2008,7.080062482
6/1/2008,12.50846256
7/1/2008,8.539278472
8/1/2008,-1.78750153
9/1/2008,1.02567156
10/1/2008,-10.36273968
11/1/2008,-21.43691291
12/1/2008,-9.921126065
1/1/2009,3.033089199
2/1/2009,4.363250678
3/1/2009,-1.18532465
4/1/2009,1.207890903
5/1/2009,1.764494799
6/1/2009,9.918431827
7/1/2009,-0.357611826
8/1/2009,4.011431749
9/1/2009,2.31483056
10/1/2009,3.596921998
11/1/2009,4.011595854
12/1/2009,0.624049386
1/1/2010,0.778226251
2/1/2010,-1.142675852
3/1/2010,0.397575895
4/1/2010,0.276016893
5/1/2010,-0.623888597
6/1/2010,-0.502659453
7/1/2010,2.241010394
8/1/2010,1.752356073
9/1/2010,1.936735573
10/1/2010,4.170958442
11/1/2010,3.036764231
12/1/2010,4.810237727
1/1/2011,3.885353857
2/1/2011,3.851183102
3/1/2011,6.192253663
4/1/2011,5.619739259
5/1/2011,3.811996549
6/1/2011,0
7/1/2011,3.139932622
8/1/2011,3.779396747
9/1/2011,2.603032147
10/1/2011,0.809975612
11/1/2011,2.215373857
12/1/2011,0.28521629
1/1/2012,3.264590589
2/1/2012,2.562198044
3/1/2012,2.509538558
4/1/2012,1.991292919
5/1/2012,-2.484386124
6/1/2012,-0.992045757
7/1/2012,0.346521877
8/1/2012,6.951261292
9/1/2012,5.711903836
10/1/2012,3.231797705
11/1/2012,-2.016907409
12/1/2012,-0.145306723
1/1/2013,2.37459572
2/1/2013,6.498285419
3/1/2013,-3.379055969
4/1/2013,-2.508194561
5/1/2013,0.496883701
6/1/2013,2.853095426
7/1/2013,2.346646785
8/1/2013,2.861334758
9/1/2013,0.452248399
10/1/2013,0.642105436
11/1/2013,2.211348535
12/1/2013,3.168815392
1/1/2014,2.905490061
